time,P,G(i),H_sun,T2m,WS10m,Int
20160101:0009,0.0,0.0,0.0,14.83,10.01,0.0
20160101:0109,0.0,0.0,0.0,14.73,10.25,0.0
20160101:0209,0.0,0.0,0.0,14.62,10.48,0.0
20160101:0309,0.0,0.0,0.0,14.52,10.72,0.0
20160101:0409,0.0,0.0,0.0,14.11,11.28,0.0
20160101:0509,0.0,4.02,4.33,13.7,11.85,0.0
20160101:0609,0.0,0.0,0.0,13.3,12.41,0.0
20160101:0709,90.7,362.22,23.64,12.78,12.42,0.0
20160101:0809,0.0,0.0,0.0,12.27,12.42,0.0
20160101:0909,0.0,0.0,0.0,11.76,12.43,0.0
20160101:1009,22.51,102.58,34.58,11.37,12.26,0.0
20160101:1109,0.0,0.0,0.0,10.98,12.09,0.0
20160101:1209,44.75,185.69,24.9,10.59,11.92,0.0
20160101:1309,0.08,6.24,16.27,10.64,11.63,0.0
20160101:1409,0.0,0.0,0.0,10.69,11.35,0.0
20160101:1509,0.0,0.0,0.0,10.74,11.06,0.0
20160101:1609,0.0,0.0,0.0,10.87,10.67,0.0
20160101:1709,0.0,0.0,0.0,11.0,10.27,0.0
20160101:1809,0.0,0.0,0.0,11.12,9.88,0.0
20160101:1909,0.0,0.0,0.0,10.96,9.52,0.0
20160101:2009,0.0,0.0,0.0,10.8,9.16,0.0
20160101:2109,0.0,0.0,0.0,10.63,8.8,0.0
20160101:2209,0.0,0.0,0.0,10.97,8.54,0.0
20160101:2309,0.0,0.0,0.0,11.32,8.28,0.0
20160102:0009,0.0,0.0,0.0,11.66,8.01,0.0
20160102:0109,0.0,0.0,0.0,11.63,7.74,0.0
20160102:0209,0.0,0.0,0.0,11.6,7.46,0.0
20160102:0309,0.0,0.0,0.0,11.57,7.19,0.0
20160102:0409,0.0,0.0,0.0,11.58,7.09,0.0
20160102:0509,0.0,4.02,4.3,11.59,6.99,0.0
20160102:0609,15.55,78.47,14.7,11.6,6.9,0.0
20160102:0709,97.1,387.12,23.65,11.33,6.47,0.0
20160102:0809,17.45,83.4,30.46,11.07,6.04,0.0
20160102:0909,155.1,612.48,34.35,10.8,5.61,0.0
20160102:1009,100.2,396.23,34.68,10.41,5.36,0.0
20160102:1109,5.42,33.97,31.39,10.01,5.11,0.0
20160102:1209,0.0,0.0,0.0,9.62,4.86,0.0
20160102:1309,0.0,0.0,0.0,10.11,4.36,0.0
20160102:1409,12.12,65.05,6.22,10.6,3.87,0.0
20160102:1509,0.0,0.0,0.0,11.09,3.38,0.0
20160102:1609,0.0,0.0,0.0,11.3,3.13,0.0
20160102:1709,0.0,0.0,0.0,11.51,2.88,0.0
20160102:1809,0.0,0.0,0.0,11.71,2.63,0.0
20160102:1909,0.0,0.0,0.0,11.03,2.92,0.0
20160102:2009,0.0,0.0,0.0,10.34,3.21,0.0
20160102:2109,0.0,0.0,0.0,9.65,3.5,0.0
20160102:2209,0.0,0.0,0.0,10.22,4.45,0.0
20160102:2309,0.0,0.0,0.0,10.78,5.4,0.0
20160103:0009,0.0,0.0,0.0,11.35,6.34,0.0
20160103:0109,0.0,0.0,0.0,11.55,7.32,0.0
20160103:0209,0.0,0.0,0.0,11.76,8.3,0.0
20160103:0309,0.0,0.0,0.0,11.96,9.28,0.0
20160103:0409,0.0,0.0,0.0,12.17,9.8,0.0
20160103:0509,0.0,0.0,0.0,12.37,10.32,0.0
20160103:0609,0.0,0.0,0.0,12.58,10.84,0.0
20160103:0709,0.0,0.0,0.0,13.0,10.77,0.0
20160103:0809,0.0,4.99,30.51,13.42,10.7,0.0
20160103:0909,61.8,252.36,34.43,13.84,10.63,0.0
20160103:1009,72.01,291.05,34.79,13.94,9.94,0.0
20160103:1109,227.68,921.88,31.51,14.04,9.24,0.0
20160103:1209,74.58,302.15,25.17,14.14,8.54,0.0
20160103:1309,153.93,621.45,16.54,14.13,7.3,0.0
20160103:1409,52.81,229.41,6.36,14.13,6.06,0.0
20160103:1509,0.0,0.0,0.0,14.12,4.83,0.0
20160103:1609,0.0,0.0,0.0,13.78,3.94,0.0
20160103:1709,0.0,0.0,0.0,13.44,3.06,0.0
20160103:1809,0.0,0.0,0.0,13.09,2.18,0.0
20160103:1909,0.0,0.0,0.0,12.77,2.46,0.0
20160103:2009,0.0,0.0,0.0,12.45,2.73,0.0
20160103:2109,0.0,0.0,0.0,12.12,3.01,0.0
20160103:2209,0.0,0.0,0.0,12.18,3.15,0.0
20160103:2309,0.0,0.0,0.0,12.23,3.29,0.0
20160104:0009,0.0,0.0,0.0,12.29,3.43,0.0
20160104:0109,0.0,0.0,0.0,11.86,3.24,0.0
20160104:0209,0.0,0.0,0.0,11.42,3.04,0.0
20160104:0309,0.0,0.0,0.0,10.99,2.84,0.0
20160104:0409,0.0,0.0,0.0,11.46,3.43,0.0
20160104:0509,0.0,0.0,0.0,11.93,4.03,0.0
20160104:0609,1.59,16.43,14.69,12.41,4.62,0.0
20160104:0709,0.6,10.19,23.69,13.27,5.45,0.0
20160104:0809,2.84,22.49,30.56,14.14,6.29,0.0
20160104:0909,260.29,1086.81,34.51,15.01,7.12,0.0
20160104:1009,236.43,975.55,34.9,15.19,7.35,0.0
20160104:1109,272.76,1143.81,31.64,15.38,7.59,0.0
20160104:1209,126.84,509.76,25.31,15.56,7.82,0.0
20160104:1309,147.56,597.4,16.69,15.22,7.69,0.0
20160104:1409,51.75,225.35,6.5,14.88,7.56,0.0
20160104:1509,0.0,0.0,0.0,14.53,7.43,0.0
20160104:1609,0.0,0.0,0.0,14.23,7.5,0.0
20160104:1709,0.0,0.0,0.0,13.92,7.57,0.0
20160104:1809,0.0,0.0,0.0,13.61,7.64,0.0
20160104:1909,0.0,0.0,0.0,13.45,7.81,0.0
20160104:2009,0.0,0.0,0.0,13.29,7.98,0.0
20160104:2109,0.0,0.0,0.0,13.13,8.15,0.0
20160104:2209,0.0,0.0,0.0,13.34,8.26,0.0
20160104:2309,0.0,0.0,0.0,13.55,8.37,0.0
20160105:0009,0.0,0.0,0.0,13.76,8.48,0.0
20160105:0109,0.0,0.0,0.0,13.77,8.47,0.0
20160105:0209,0.0,0.0,0.0,13.78,8.46,0.0
20160105:0309,0.0,0.0,0.0,13.79,8.44,0.0
20160105:0409,0.0,0.0,0.0,14.0,8.4,0.0
20160105:0509,3.05,28.35,4.25,14.21,8.35,0.0
20160105:0609,47.44,205.79,14.7,14.43,8.3,0.0
20160105:0709,156.32,632.07,23.72,15.28,8.31,0.0
20160105:0809,187.12,760.47,30.62,16.14,8.32,0.0
20160105:0909,75.8,310.48,34.6,17.0,8.33,0.0
20160105:1009,194.85,796.78,35.01,17.23,8.15,0.0
20160105:1109,180.61,737.11,31.78,17.46,7.97,0.0
