time,P,G(i),H_sun,T2m,WS10m,Int
20160105:0609,99.1,400.24,12.69,8.99,4.88,0.0
20160105:0709,211.87,865.16,22.52,11.17,5.21,0.0
20160105:0809,268.25,1131.03,30.46,13.34,5.54,0.0
20160105:0909,312.5,1362.4,35.69,15.52,5.86,0.0
20160105:1009,316.44,1390.35,37.37,16.77,6.0,0.0
20160105:1109,291.86,1271.03,35.17,18.02,6.15,0.0
20160105:1209,268.09,1160.59,29.52,19.27,6.29,0.0
20160105:1309,191.88,807.65,21.27,18.78,5.76,0.0
20160105:1409,73.7,318.05,11.24,18.29,5.23,0.0
20160105:1509,0.0,0.0,0.0,17.81,4.7,0.0
20160105:1609,0.0,0.0,0.0,16.55,4.63,0.0
20160105:1709,0.0,0.0,0.0,15.29,4.55,0.0
20160105:1809,0.0,0.0,0.0,14.04,4.47,0.0
20160105:1909,0.0,0.0,0.0,13.3,4.49,0.0
20160105:2009,0.0,0.0,0.0,12.55,4.51,0.0
20160105:2109,0.0,0.0,0.0,11.81,4.52,0.0
20160105:2209,0.0,0.0,0.0,11.41,4.52,0.0
20160105:2309,0.0,0.0,0.0,11.01,4.52,0.0
20160106:0009,0.0,0.0,0.0,10.61,4.52,0.0
20160106:0109,0.0,0.0,0.0,10.3,4.45,0.0
20160106:0209,0.0,0.0,0.0,10.0,4.37,0.0
20160106:0309,0.0,0.0,0.0,9.69,4.29,0.0
20160106:0409,0.0,0.0,0.0,9.64,4.16,0.0
20160106:0509,0.0,0.0,0.0,9.59,4.02,0.0
20160106:0609,102.38,415.86,12.69,9.54,3.89,0.0
20160106:0709,189.07,776.07,22.54,12.12,3.98,0.0
20160106:0809,310.3,1382.55,30.52,14.7,4.06,0.0
20160106:0909,216.94,920.65,35.78,17.28,4.15,0.0
20160106:1009,286.19,1278.97,37.49,18.59,4.12,0.0
20160106:1109,283.34,1274.77,35.31,19.9,4.1,0.0
20160106:1209,260.35,1164.05,29.67,21.21,4.07,0.0
20160106:1309,177.91,763.09,21.42,20.59,3.77,0.0
20160106:1409,68.38,299.86,11.39,19.96,3.47,0.0
20160106:1509,0.0,0.0,0.0,19.34,3.17,0.0
20160106:1609,0.0,0.0,0.0,17.75,3.33,0.0
20160106:1709,0.0,0.0,0.0,16.16,3.49,0.0
20160106:1809,0.0,0.0,0.0,14.58,3.64,0.0
20160106:1909,0.0,0.0,0.0,13.82,3.8,0.0
20160106:2009,0.0,0.0,0.0,13.07,3.96,0.0
20160106:2109,0.0,0.0,0.0,12.31,4.12,0.0
20160106:2209,0.0,0.0,0.0,11.96,4.28,0.0
20160106:2309,0.0,0.0,0.0,11.61,4.43,0.0
20160107:0009,0.0,0.0,0.0,11.26,4.58,0.0
20160107:0109,0.0,0.0,0.0,10.95,4.83,0.0
20160107:0209,0.0,0.0,0.0,10.65,5.08,0.0
20160107:0309,0.0,0.0,0.0,10.34,5.32,0.0
20160107:0409,0.0,0.0,0.0,10.67,5.62,0.0
20160107:0509,0.0,0.0,0.0,11.0,5.92,0.0
20160107:0609,0.0,0.0,0.0,11.33,6.22,0.0
20160107:0709,26.89,121.39,22.57,13.63,6.82,0.0
20160107:0809,46.25,196.3,30.58,15.94,7.42,0.0
20160107:0909,0.0,0.0,0.0,18.24,8.01,0.0
20160107:1009,0.0,0.0,0.0,19.56,8.68,0.0
20160107:1109,0.0,0.0,0.0,20.89,9.34,0.0
20160107:1209,105.55,436.77,29.83,22.22,10.0,0.0
20160107:1309,134.36,557.09,21.58,21.54,9.65,0.0
20160107:1409,45.33,204.2,11.55,20.86,9.3,0.0
20160107:1509,0.0,0.0,0.0,20.18,8.95,0.0
20160107:1609,0.0,0.0,0.0,18.87,8.38,0.0
20160107:1709,0.0,0.0,0.0,17.57,7.8,0.0
20160107:1809,0.0,0.0,0.0,16.27,7.23,0.0
20160107:1909,0.0,0.0,0.0,15.21,6.71,0.0
20160107:2009,0.0,0.0,0.0,14.16,6.19,0.0
20160107:2109,0.0,0.0,0.0,13.1,5.67,0.0
20160107:2209,0.0,0.0,0.0,12.77,6.0,0.0
20160107:2309,0.0,0.0,0.0,12.45,6.32,0.0
20160108:0009,0.0,0.0,0.0,12.12,6.65,0.0
20160108:0109,0.0,0.0,0.0,11.88,6.9,0.0
20160108:0209,0.0,0.0,0.0,11.63,7.15,0.0
20160108:0309,0.0,0.0,0.0,11.39,7.41,0.0
20160108:0409,0.0,0.0,0.0,11.37,7.21,0.0
20160108:0509,0.0,0.0,0.0,11.35,7.01,0.0
20160108:0609,31.81,141.91,12.71,11.33,6.81,0.0
20160108:0709,104.27,416.63,22.61,12.57,7.18,0.0
20160108:0809,229.02,935.68,30.65,13.8,7.54,0.0
20160108:0909,285.96,1201.58,35.97,15.04,7.9,0.0
20160108:1009,234.49,966.11,37.75,15.81,8.02,0.0
20160108:1109,362.16,1596.36,35.61,16.59,8.13,0.0
20160108:1209,306.62,1317.95,29.99,17.37,8.25,0.0
20160108:1309,176.74,726.41,21.74,17.05,7.6,0.0
20160108:1409,36.88,167.2,11.7,16.73,6.95,0.0
20160108:1509,0.0,0.0,0.0,16.42,6.3,0.0
20160108:1609,0.0,0.0,0.0,15.76,5.51,0.0
20160108:1709,0.0,0.0,0.0,15.1,4.71,0.0
20160108:1809,0.0,0.0,0.0,14.44,3.92,0.0
20160108:1909,0.0,0.0,0.0,14.08,3.86,0.0
20160108:2009,0.0,0.0,0.0,13.73,3.8,0.0
20160108:2109,0.0,0.0,0.0,13.37,3.74,0.0
20160108:2209,0.0,0.0,0.0,12.87,3.79,0.0
20160108:2309,0.0,0.0,0.0,12.37,3.84,0.0
20160109:0009,0.0,0.0,0.0,11.87,3.89,0.0
20160109:0109,0.0,0.0,0.0,11.53,3.7,0.0
20160109:0209,0.0,0.0,0.0,11.19,3.51,0.0
20160109:0309,0.0,0.0,0.0,10.85,3.32,0.0
20160109:0409,0.0,0.0,0.0,10.96,3.2,0.0
20160109:0509,0.0,0.0,0.0,11.06,3.07,0.0
