time,P,G(i),H_sun,T2m,WS10m,Int
20160105:0609,24.78,115.3,14.38,11.49,6.32,0.0
20160105:0709,7.58,44.13,23.28,12.89,6.69,0.0
20160105:0809,0.0,5.03,30.05,14.29,7.07,0.0
20160105:0909,4.99,32.77,33.93,15.69,7.45,0.0
20160105:1009,0.0,0.0,0.0,15.96,7.47,0.0
20160105:1109,49.96,210.45,31.05,16.23,7.49,0.0
20160105:1209,21.56,101.41,24.76,16.51,7.5,0.0
20160105:1309,0.0,0.0,0.0,15.6,6.69,0.0
20160105:1409,9.53,54.96,6.11,14.7,5.89,0.0
20160105:1509,0.0,0.0,0.0,13.79,5.08,0.0
20160105:1609,0.0,0.0,0.0,13.42,4.84,0.0
20160105:1709,0.0,0.0,0.0,13.04,4.61,0.0
20160105:1809,0.0,0.0,0.0,12.67,4.37,0.0
20160105:1909,0.0,0.0,0.0,12.33,4.39,0.0
20160105:2009,0.0,0.0,0.0,11.98,4.41,0.0
20160105:2109,0.0,0.0,0.0,11.64,4.43,0.0
20160105:2209,0.0,0.0,0.0,11.56,4.4,0.0
20160105:2309,0.0,0.0,0.0,11.48,4.37,0.0
20160106:0009,0.0,0.0,0.0,11.4,4.34,0.0
20160106:0109,0.0,0.0,0.0,11.17,4.14,0.0
20160106:0209,0.0,0.0,0.0,10.95,3.94,0.0
20160106:0309,0.0,0.0,0.0,10.72,3.74,0.0
20160106:0409,0.0,0.0,0.0,11.16,3.74,0.0
20160106:0509,0.0,3.66,4.04,11.6,3.75,0.0
20160106:0609,85.27,354.15,14.4,12.03,3.75,0.0
20160106:0709,189.22,784.12,23.31,13.6,3.98,0.0
20160106:0809,244.9,1045.25,30.12,15.18,4.21,0.0
20160106:0909,277.34,1213.28,34.03,16.75,4.44,0.0
20160106:1009,286.41,1263.96,34.4,17.05,4.35,0.0
20160106:1109,257.33,1117.6,31.19,17.35,4.27,0.0
20160106:1209,218.81,933.09,24.91,17.66,4.18,0.0
20160106:1309,131.92,546.13,16.37,16.7,3.85,0.0
20160106:1409,25.9,123.82,6.26,15.75,3.53,0.0
